"ID","ch","sex","origin"
"2011_069","10000000000000000000","female","T"
"2011_070","10000000000000000000","male","T"
"2011_071","10000000000000000000","female","T"
"2011_058","10110000000000000000","female","T"
"2011_072","10000000000000000000","female","T"
"2011_073","10000000000000000000","female","T"
"2011_074","10000000000000000000","female","T"
"2011_075","10000000000000000000","female","T"
"2011_076","10000000000000000000","male","T"
"2011_077","10000000000000000000","male","T"
"2011_055","11001000100000000000","male","T"
"2011_078","10000000000000000000","male","T"
"2011_079","10000000000000000000","male","T"
"2011_080","10000000000000000000","male","T"
"2011_059","10100000100000000000","male","T"
"2011_081","10000000000000000000","male","T"
"2011_082","10000000000000000000","male","T"
"2011_083","10000000010010000000","male","T"
"2011_084","10000000000000000000","male","T"
"2011_067","10001100000000000000","female","T"
"2011_045","10000001001000000000","female","T"
"2011_046","11010100000000000000","female","T"
"2011_047","10000000000000000000","female","T"
"2011_048","10000000000000000000","female","T"
"2011_049","10000000000000000000","male","T"
"2011_050","10000000000000000000","female","T"
"2011_051","11110100000000000000","female","T"
"2011_052","10000000000000000000","female","T"
"2011_053","10000000000000000000","male","T"
"2011_054","10010000000000000000","male","T"
"2011_001","10000000000000000000","female","T"
"2011_002","10000000100000000000","female","T"
"2011_003","10000000000000000000","female","T"
"2011_004","10000000000000000000","male","T"
"2011_005","11000000000000000000","female","T"
"2011_006","10000000000000000000","male","T"
"2011_007","10000000000000000000","male","T"
"2011_008","10100100000000000000","male","T"
"2011_009","10000000000000000000","female","T"
"2011_010","10000000000000000000","female","T"
"2011_011","11000000000000000000","female","T"
"2011_012","10000000000000000000","female","T"
"2011_013","10000000000000000000","female","T"
"2011_014","10000000000000000000","male","T"
"2011_015","10000000000000000000","female","T"
"2011_016","10000000000000000000","male","T"
"2011_017","10000000000000000000","female","T"
"2011_018","10000000000000000000","female","T"
"2011_019","10000000000000000000","male","T"
"2011_020","10000000000000000000","female","T"
"2011_021","10100000001000000000","male","T"
"2011_022","10000000000000000000","female","T"
"2011_023","10000000000000000000","male","T"
"2011_024","10000000000000000000","female","T"
"2011_025","10000000000000000000","female","T"
"2011_026","10000000000000000000","male","T"
"2011_027","10000000000000000000","female","T"
"2011_028","10000100000000000000","female","T"
"2011_029","10100000000000000000","female","T"
"2011_030","10000000000000000000","male","T"
"2011_031","10000000000000000000","female","T"
"2011_038","10100000000100010000","female","T"
"2011_063","00001000000000000000","male","W"
"2011_064","00001000000000000000","female","W"
"2011_065","00001000000000000000","female","W"
"2011_066","00001000000000000000","male","W"
"2011_068","00001000010000000000","female","W"
"2012_003","00000010000000000000","female","W"
"2012_005","00000010100000000000","female","W"
"2012_006","00000010000000000000","male","W"
"2012_008","00000010000000000000","male","W"
"2013_001","00000001000000000000","female","W"
"2013_002","00000001000000000000","female","W"
"2013_003","00000001100010001000","male","W"
"2013_004","00000000100000000000","female","W"
"2013_006","00000000101000000000","female","W"
"2013_007","00000000100000000000","female","W"
"2013_008","00000000100000000000","female","W"
"2013_009","00000000100000000000","male","W"
"2013_010","00000000100000000000","male","W"
"2013_011","00000000110000000000","female","W"
"2013_012","00000000100000000000","female","W"
"2012_002","00000000100000000000","female","W"
"2013_013","00000000100011000000","male","W"
"2013_014","00000000100100000000","female","W"
"2014_002","00000000010110100000","male","W"
"2014_003","00000000010000000000","female","W"
"2014_005","00000000010000000000","female","W"
"2014_006","00000000010000000000","female","W"
"2014_007","00000000010000000000","male","W"
"2014_009","00000000010000000000","female","W"
"2014_010","00000000010000000000","female","W"
"2014_011","00000000010000001100","female","W"
"2014_012","00000000010000000000","female","W"
"2014_013","00000000010000000000","male","W"
"2015_001","00000000001100000000","female","W"
"2015_003","00000000001010000000","female","W"
"2015_004","00000000001000000000","female","W"
"2015_005","00000000001000000000","female","W"
"2015_006","00000000001010000000","female","W"
"2015_007","00000000001000000000","female","W"
"2015_008","00000000001000000000","female","W"
"2016_001","00000000000100000000","male","W"
"2016_005","00000000000101000000","male","W"
"2016_006","00000000000100000000","female","W"
"2016_007","00000000000100000000","male","W"
"2016_008","00000000000100000000","male","W"
"2016_010","00000000000111100000","female","W"
"2016_011","00000000000110000000","male","W"
"2016_012","00000000000100000000","male","W"
"2016_013","00000000000111000000","male","W"
"2016_014","00000000000101000000","female","W"
"2016_015","00000000000100000000","male","W"
"2016_016","00000000000110000000","female","W"
"2016_018","00000000000100000000","female","W"
"2016_019","00000000000101000000","male","W"
"2016_020","00000000000111000000","male","W"
"2016_009","00000000000100000000","female","W"
"2016_021","00000000000100000000","female","W"
"2016_023","00000000000100000000","female","W"
"2016_024","00000000000100000000","male","W"
