"ID","sex","origin","2011_04","2011_05","2011_08","2011_09","2011_11","2012_02","2012_05","2013_01","2013_07","2014_06","2015_03","2016_03","2016_08","2017_03","2017_08","2018_02","2018_08","2019_09","2021_02","2021_06"
"2011_069","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_070","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_071","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_058","female","T",1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_072","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_073","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_074","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_075","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_076","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_077","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_055","male","T",1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2011_078","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_079","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_080","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_059","male","T",1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2011_081","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_082","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_083","male","T",1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"2011_084","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_067","female","T",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_045","female","T",1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"2011_046","female","T",1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_047","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_048","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_049","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_050","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_051","female","T",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_052","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_053","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_054","male","T",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_001","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_002","female","T",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"2011_003","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_004","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_005","female","T",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_006","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_007","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_008","male","T",1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_009","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_010","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_011","female","T",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_012","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_013","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_014","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_015","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_016","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_017","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_018","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_019","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_020","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_021","male","T",1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"2011_022","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_023","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_024","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_025","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_026","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_027","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_028","female","T",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_029","female","T",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_030","male","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_031","female","T",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2011_038","female","T",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
"2011_063","male","W",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
